fips,median_household_income_2017,density_2010
16023,43207,1.3
16025,36667,1
16027,46426,321.6
16029,58750,3.9
16031,48162,8.9
16033,31927,0.6
16035,41122,3.6
16037,37976,0.9
16039,45154,8.8
16041,51583,19.3
16043,51806,7.1
16045,42888,29.8
16047,42626,21.2
16049,40299,1.9
16051,58055,23.9
16053,46421,37.5
16055,53189,111.3
16057,43310,34.6
16059,36031,1.7
16061,40313,8
16063,46383,4.3
16065,33620,80
16067,48021,26.5
16069,51804,46.3
16071,43491,3.6
16073,36092,1.5
16075,48447,55.6
16077,47602,5.6
16079,39835,4.9
16081,55986,22.6
16083,49118,40.2
16085,54015,2.7
16087,37521,7
17001,48454,78.5
17003,31014,35
17005,54393,46.7
17007,62701,193
17009,56289,22.7
17011,54271,40.2
17013,53641,20
17015,50555,34.6
17017,50156,36.3
17019,49586,201.8
17021,50668,49.1
17023,52068,32.6
17025,47427,29.5
17027,64543,79.7
17029,41907,106
17031,59426,5495.1
17033,47468,44.7
17035,50680,31.9
17037,58343,166.6
17039,55411,41.7
17041,52261,48
17043,84442,2799.8
17045,47873,29.8
17047,49632,30.2
17049,54655,71.5
17051,44541,30.9
17053,50851,29
17055,39454,96.8
17057,48599,42.8
17059,42450,17.3
17061,44502,25.6
17063,71598,119.8
17065,47293,19.5
17067,51460,24.1
17069,39524,24.3
17071,47428,19.3
17073,55755,61.3
17075,48857,26.6
17077,36008,103.1
17079,56523,19.6
17081,46109,68
17083,56320,62.2
17085,55532,37.7
17087,45743,36.6
17089,74862,990.8
17091,56542,167.7
17093,89860,358.2
17095,41972,73.9
17097,82613,1585.6
17099,54693,100.4
17101,44504,45.2
17103,58319,49.7
17105,54339,37.3
17107,58271,49
17109,42911,55.3
17111,82230,511.9
17113,64573,143.3
17115,49052,190.8
17117,53890,55.4
17119,56536,376.3
17121,44679,68.9
17123,55173,32.7
17125,44695,27.2
17127,42168,65
17129,62368,40.4
17131,55649,29.3
17133,74410,85.6
17135,47807,42.8
17137,49353,62.5
17139,53979,44.2
17141,57655,70.5
17143,53063,301.2
17145,45864,50.6
17147,67360,38.1
17149,41387,19.8
17151,41139,12.1
17153,34655,30.9
17155,64741,37.5
17157,49717,58.2
17159,46454,45.1
17161,51426,345
17163,51103,410.6
17165,40722,65.6
17167,58687,227.4
17169,47321,17.3
17171,48542,21.3
17173,49807,29.5
17175,52284,20.8
17177,46427,84.5
17179,60874,208.6
17181,46716,43.1
17183,44930,90.9
17185,49716,53.5
17187,47278,32.6
17189,54520,26.2
17191,46405,23.5
17193,46279,29.6
17195,51969,85.5
17197,80782,809.6
17199,48600,157.9
17201,51110,575.2
17203,69507,73.3
18001,48290,101.4
18003,51091,540.6
18005,57331,188.7
18007,49183,21.8
18009,40622,77.3
18011,75591,133.9
18013,59292,48.9
18015,56188,54.1
18017,45558,94.5
18019,52834,295.6
18021,50924,75.2
18023,51659,82
18025,40067,35.1
18027,48355,73.7
18029,62905,164.1
18031,52270,69.1
18033,51374,116.4
18035,41208,300.1
18037,57307,98
18039,52449,426.5
18041,41476,112.9
18043,59451,504.1
18045,46669,43.6
18047,55588,60.1
